post_id,title,category,score,num_comments,author,collected_at
47685644,Introduction to Nintendo DS Programming,technology,149,23,medbar,2026-04-09 23:38:26
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,171,143,kisamoto,2026-04-09 23:38:28
47702541,A WebGPU implementation of Augmented Vertex Block Descent,technology,85,8,juretriglav,2026-04-09 23:38:30
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,100,75,SirHound,2026-04-09 23:38:33
47704881,The Vercel plugin on Claude Code wants to read your prompts,technology,202,67,akshay2603,2026-04-09 23:38:35
47684811,One Brain to Query: Wiring a 60-Person Company into a Single Slack Bot,technology,25,32,meryll_dindin,2026-04-09 23:38:39
47699181,Open source security at Astral,technology,315,75,vinhnx,2026-04-09 23:38:40
47706141,Research-Driven Agents: What Happens When Your Agent Reads Before It Codes,technology,10,1,hopechong,2026-04-09 23:38:45
47701233,Claude mixes up who said what,technology,351,296,sixhobbits,2026-04-09 23:38:47
47695012,USB for Software Developers: An introduction to writing userspace USB drivers,technology,384,46,WerWolv,2026-04-09 23:38:50
47660434,C# in Unity 2026: Writing more modern code,technology,65,75,hacker_13,2026-04-09 23:38:54
47645010,Dr. Dobb's Developer Library DVD 6 (2010),technology,121,44,kristianp,2026-04-09 23:38:56
47687273,Git commands I run before reading any code,technology,2166,462,grepsedawk,2026-04-09 23:38:59
47706482,"AI, Unemployment and Work",technology,6,1,speckx,2026-04-09 23:39:02
47703573,FBI Extracted Deleted Signal Messages Saved in iPhone Notification Database,technology,34,11,bjord,2026-04-09 23:39:05
47706113,"Desalination Technology, by the Numbers",technology,8,0,Brajeshwar,2026-04-09 23:39:07
47700460,Ask HN: What are you building that's not AI related?,technology,94,118,meander_water,2026-04-09 23:39:12
47696035,John Deere to pay $99M in right-to-repair settlement,technology,361,118,CharlesW,2026-04-09 23:39:14
47689237,US cities are axing Flock Safety surveillance technology,technology,737,414,giuliomagnifico,2026-04-09 23:39:17
47693679,I've been waiting over a month for Anthropic to respond to my billing issue,technology,404,188,nickvec,2026-04-09 23:39:20
47679121,Project Glasswing: Securing critical software for the AI era,technology,1506,813,Ryan5453,2026-04-09 23:39:23
47656518,Your File System Is Already A Graph Database,technology,179,75,alxndr,2026-04-09 23:39:24
47689174,MegaTrain: Full Precision Training of 100B+ Parameter LLMs on a Single GPU,technology,321,56,chrsw,2026-04-09 23:39:29
